165,166,197,0,230,263,0,1
165,166,197,0,0,233,263,1
133,166,196,197,0,216,263,1
133,166,196,197,241,263,0,1
133,166,197,0,217,263,0,1
133,166,0,197,208,229,263,1
133,166,196,197,232,263,264,1
133,166,197,0,217,263,264,1
133,166,197,198,221,263,0,1
141,177,208,210,211,236,281,2
139,176,209,210,217,256,278,2
139,176,208,210,0,216,281,2
140,176,209,210,216,254,280,2
141,176,209,210,0,217,280,2
139,173,209,210,0,217,278,2
140,176,209,0,219,253,280,2
140,176,208,209,218,257,280,2
139,176,208,0,210,234,280,2
147,186,191,221,0,0,234,3
148,184,186,208,221,0,233,3
147,187,191,221,0,0,233,3
147,186,191,221,0,0,233,3
148,186,191,221,0,0,233,3
148,187,192,220,0,221,275,3
148,187,191,222,0,0,234,3
148,187,192,221,0,0,233,3
148,187,192,221,0,222,275,3
158,177,198,0,234,235,236,4
157,188,198,0,234,235,247,4
141,177,209,210,211,216,280,4
158,189,199,0,234,235,259,4
158,178,199,0,235,236,237,4
158,178,199,0,235,236,237,4
157,191,199,0,235,236,259,4
157,187,199,0,236,237,254,4
156,175,199,0,233,234,236,4
186,208,209,0,216,248,0,5
166,186,209,0,0,226,248,5
186,209,0,227,248,0,0,5
166,187,209,0,226,247,0,5
187,208,209,217,248,0,249,5
187,209,0,241,248,0,249,5
165,166,193,209,241,249,0,5
166,187,209,0,227,247,249,5
166,206,209,216,247,248,249,5
176,0,198,221,222,0,264,6
176,0,198,222,0,264,0,6
133,176,197,222,0,263,266,6
176,0,177,199,219,0,266,6
133,177,198,222,0,263,265,6
177,0,199,222,0,263,265,6
176,177,199,219,221,264,265,6
176,177,198,219,222,263,265,6
133,177,199,222,241,264,265,6
140,186,187,209,235,0,0,7
186,0,187,209,235,0,280,7
141,174,186,208,209,232,235,7
186,0,0,187,211,235,281,7
140,186,187,0,210,235,0,7
140,186,187,188,210,235,281,7
186,188,210,232,234,235,0,7
176,186,210,232,235,0,0,7
140,187,188,210,232,235,0,7
186,197,0,198,220,248,0,8
186,197,198,0,216,248,0,8
186,197,0,198,217,248,0,8
186,197,198,220,247,248,0,8
186,197,198,0,217,247,248,8
186,197,198,220,247,248,0,8
186,197,198,0,218,247,248,8
187,197,198,0,221,249,0,8
187,198,0,221,0,249,0,8
157,168,209,210,235,263,0,9
182,208,209,210,235,263,0,9
156,182,208,0,210,234,260,9
157,182,208,209,210,234,235,9
157,182,208,209,210,233,234,9
157,182,208,0,209,234,235,9
171,208,209,210,235,263,264,9
182,208,0,0,209,235,260,9
157,182,208,0,209,233,235,9
167,209,220,221,222,0,248,10
166,192,220,0,221,0,279,10
166,209,220,0,221,0,248,10
166,209,220,0,221,0,275,10
167,209,221,0,0,222,279,10
166,207,220,221,0,0,275,10
167,210,220,221,0,222,275,10
166,193,220,221,0,0,276,10
167,210,221,0,0,222,276,10
177,213,223,231,234,235,236,11
177,204,222,232,234,0,0,11
177,204,223,224,234,0,235,11
176,205,224,232,234,235,0,11
177,204,221,232,234,235,236,11
177,205,229,234,235,0,236,11
177,191,223,230,234,235,236,11
177,205,223,230,234,0,235,11
177,204,219,223,234,0,235,11
186,187,213,236,248,249,250,12
186,187,195,235,248,249,0,12
187,188,193,237,248,249,250,12
186,187,195,237,248,0,249,12
187,0,194,237,248,249,250,12
187,0,197,237,248,249,0,12
187,188,192,237,248,249,250,12
186,187,194,237,248,249,250,12
186,188,191,237,248,0,249,12
